*4u,kiss for you
4r3al,for real
4rm,from
4sho,for sure
4tlog,for the love of god
4tw,for the win
4u,for you
4umb,for you maybe
4us,for us
4ward,forward
4wd,forward
4yeo,for your eyes only
5,five
53x,sex
5h17,s  t
5n,fine
5o,police
5oh,cop
6,six
6flx     x,rated movie  sex flick 
6up,cops in area
6y,sexy
7,seven
7734,hell
7uck,f  k
8,eight
8008,boob
8008135,boobies
80085,boobs
81tc#,b   h
9,nine
9009l3,google
911sc,emergency let s stop chatting
9t,night
<3,love
?^,what s up 
?u@,where are you 
?up,what s up 
@,at
@$$,a  
@$$ #013,a   hole
@$$hole,a  h  e
@h,a  h  e
^5,high
a$$,a  
a&f,always and forever
a'ight,alright
a.i.m.,aol instant messanger
a/l,age and location
a/m,away message
a/s/l,age sex location
a/s/l/p,age sex location picture
a/s/l/r,age  sex  location  race
a1t,anyone there
a3,anyplace  anywhere  anytime
aaaaa,american assosciation against acronym abuse
aabf,as a best friend
aaf,as a friend
aak,alive and kicking
aamof,as a matter of fact
aatf,always and totally forever
aatw,all around the world
abd,already been done
abend,absent by enforced net deprivation
abft,about f  king time
aboot,about
abreev,abbreviation
absnt,absent
abt,about
abwt,about
acc,account
acct,account
acgaf,absolutely couldn t give a f  k
ack,acknowledged
addy,address
adhd,attention deficit hyperactivity disorder
adl,all day long
admin,administrator
adn,any day now
aeap,as early as possible
af,assface
afaiaa,as far as i am aware
afaic,as far as i m concerned
afaicr,as far as i can remember
afaics,as far as i can see
afaict,as far as i can tell
afaik,as far as i know
afair,as far as i recall
afaiu,as far as i understand
afc,away from computer
afcpmgo,away from computer parents may go on
afg,away from game
afk,away from keyboard
afkb,away from keyboard
agn,again
ah,a   hole
ahole,a  h  e
ai,artificial intelligence
aiadw,all in a days work
aiamu,and i m a monkey s uncle
aicmfp,and i claim my five pounds
aight,alright
aightz,alright
aiic,as if i care
aiid,and if i did
aiight,all right
aim,aol instant messanger
ain't,am not
aite,alright
aitr,adult in the room
aiui,as i understand it
aiws,as i was saying
ajax,asynchronous javascript and xml
aka,also known as
akp,alexander king project
akpcep,alexander king project cultural engineering project
alaytm,as long as you tell me
alol,actually laughing out loud
alot,a lot
alotbsol,always look on the bright side of life
alright,all right
alrite,alright
alrt,alright
alryt,alright
ama,ask me anything
amf,adios motherf  ker
amiic,ask me if i care
amiigaf,ask me if i give a f  k
aml,all my love
amsp,ask me something personal
anim8,animate
anl,all night long
anlsx,anal sex
anon,anonymous
anuda,another
anw,anyways
anwwi,alright now where was i
any1,anyone
anywaz,anyways
aob,any other business
aoc,age of consent
aoe,age of empires
aon,all or nothing
aos,adult over shoulder
aota,all of the above
aoto,amen on that one
aoys,angel on your shoulder
api,application program interface
apoc,apocalypse
apod,another point of discussion
app,application
appt,appointment
aprece8,appreciate
apreci8,appreciate
apu,as per usual
aqap,as quick as possible
ar,are
arnd,around
arse,a  
arsed,bothered
arvo,afternoon
asafp,as soon as f  king possible
asaik,as soon as i know
asap,as soon as possible
asarbambtaa,all submissions are reviewed by a moderator before they are added 
asbmaetp,acronyms should be memorable and easy to pronounce
ase,age  sex  ethnicity
ashl,a  h  e
ashole,a  h  e
asic,application specific integrated circuit
asl,age  sex  location
aslo,age sex location orientation
aslop,age sex location orientation picture
aslp,age  sex  location  picture
aslr,age sex location race
aslrp,age  sex  location  race  picture
asr,age sex race
asshle,a  h  e
atb,all the best
atfp,answer the f  king phone
atl,atlanta
atm,at the moment
ato,against the odds
atop,at time of posting
atp,answer the phone
atq,answer the question
atst,at the same time
attn,attention
attotp,at the time of this post
atw,all the way
aty,according to you
audy,are you done yet 
aufm,are you f  king mental
aufsm,are you f  king shiting me
aup,acceptable use policy
av7x,avenged sevenfold
avgn,angry video game nerd
avie,avatar
avsb,a very special boy
avtr,avatar
avvie,avatar
avy,avatar
awb,acquaintance with benefits
awes,awesome
awk,awkward
awol,absent without leave
awsic,and why should i care
awsm,awesome
awsome,awesome
ayagob,are you a girl or boy
ayb,all your base
aybab2m,all your base are belong 2 me
aybab2u,all your base are belong to us
aybabtg,all your base are belong to google
aybabtu,all your base are belong to us
ayc,awaiting your comments
ayd,are you done
aydy,are you done yet
ayec,at your earliest convenience
ayfk,are you f  king kidding
ayfkm,are you f  king kidding me
ayfr,are you for real
ayfs,are you f  king serious
ayk,are you kidding
aykm,are you kidding me
ayl,are you listening
aymf,are you my friend
ayok,are you okay
aypi,and your point is
ays,are you serious
aysm,are you shitting me 
ayst,are you still there
ayt,are you there
ayte,alright
aytf,are you there f  ker
ayty,are you there yet
ayw,as you wish
azhol,a  h  e
azn,asian
azz,a  
b&,banned
b'day,birthday
b.f.f.,best friend forever
b.s.,bulls  t
b/c,because
b/cos,because
b/g,background
b/s/l,bisexual straight lesbian
b/t,between
b/w,between
b00n,new person
b00t,boot
b0rked,broken
b1tch,b   h
b2b,business to business
b2u,back to you
b2w,back to work
b3,be
b4,before
b4n,bye for now
b4u,before you
b4ug,before you go
b4ul,before you leave
b8,bait
b82rez,batteries
b8rez,batteries
b@,banned
bab,big a   boobs
babi,baby
baf,bring a friend
baggkyko,be a good girl  keep your knickers on
bah,i don t really care
bai,bye
bak,back
bakk,back
balz,balls
bamf,bad a   mother f  ker
bamofo,b   h a   mother f  ker
bau,back at you
bb,bye bye
bb4h,bros before hoes
bb4n     bye,bye for now
bbbj,bare back blow job
bbe,baby
bbf,best boy friend
bbfn,bye bye for now
bbfs,best boyfriends
bbfu,be back for you
bbg,baby girl
bbi,baby
bbiab,be back in a bit
bbiaf,be back in a few
bbialb,be back in a little bit
bbiam,be back in a minute
bbias,be back in a second
bbiaw,be back in a while
bbifs,be back in a few seconds
bbilb,be back in a little bit
bbilfm,be back in like five minutes
bbim,be back in minute
bbk,be back  ok 
bbl,be back later
bbl8a,be back later
bblig,be back later   i guess
bbm,blackberry messenger
bbml,be back much later
bbn,be back never
bbol,be back online later
bbp,banned by parents
bbq,be back quick
bbrs,be back really soon
bbs,be back soon
bbsts,be back some time soon
bbt,be back tomorrow
bbtn,be back tonite
bbvl,be back very later
bbw,be back whenever
bbwb,best buddy with boobs
bbwe,be back whenever
bbwl,be back way later
bby,baby
bbz,babes
bc,because
bch,b   h
bck,back
bcnu,be seeing you
bcnul8r,be seeing you later
bcoz,because
bcurl8,because you re late 
bcuz,because
bd,birthday
bday,birthday
bdfl,benevolent dictator for life
be4,before
beatch,b   h
bebe,baby
becuse,because
becuz,because
beech,b   h
beeoch,b   h
beezy,b   h
beotch,b   h
besos,kisses
bestie,best friend
betch,b   h
betcha,bet you
bettr,better
bewb,boob
bewbs,boobs
bewbz,boobs
bewt,boot
beyatch,b   h
beyotch,b   h
bezzie,best friend
bf,boyfriend
bf's,boyfriend s
bf+gf,boyfriend and girlfriend
bf4e,best friends for ever
bf4eva,best friends forever
bf4l,best friends for life
bfam,brother from another mother
bfd,big f  king deal
bfe,bum f  k egypt
bff,best friend forever
bffa,best friends for always
bffaa,best friends forever and always
bffae,best friends forever and ever
bffaw,best friends for a while
bffe,best friends forever
bffeae,best friend for ever and ever
bffene,best friends for ever and ever
bffl,best friends for life
bffn,best friends for now
bfftddup,best friends forever till death do us part
bfg,big f  king gun
bfh,b   h from hell
bfhd,big fat hairy deal
bfitww,best friend in the whole world
bfn,bye for now
bfs,boyfriends
bft,big f  king tits
bg,background
bh,bloody hell
bhwu,back home with you
bi,bye
biab,back in a bit
biach,b   h
biaf,back in a few
biatch,b   h
bibi,bye bye
bibifn,bye bye for now
bicbw,but i could be wrong
bich,b   h
bigd,big deal
bii,bye
bilf,brother i d like to f  k
bilu,baby i love you
bion,believe it or not 
biotch,b   h
bioya,blow it out your a  
bish,b   h
bitd,back in the day
biw,boss is watching
biwm,bisexual white male
biz,business
bizatch,b   h
bizi,busy
biznatch,b   h
biznitch,b   h
bizzle,b   h
bj,blowjob
bk,back
bka,better known as
bl,bad luck
bleme,blog meme
bleve,believe
blg,blog
blh,bored like hell
blingbling,jewelry
blj,blowjob
bljb,blowjob
blk,black
blkm,black male
blnt,better luck next time
blog,web log
blogger,web logger
blu,blue
bm,bite me
bm&y,between you and me
bm4l,best mates for life
bma,best mates always
bmay,between me and you
bmf,be my friend
bmfe,best mates forever
bmfl,best mates for life
bmha,bite my hairy a  
bml,bless my life
bmoc,big man on campus
bmttveot,best mates till the very end of time
bmvp,be my valentine please
bn,been
bndm3ovr,bend me over
bng,being
bnib,brand new in box
bnol,be nice or leave
bnr,banner
bo,body odour
boati,bend over and take it
bobfoc,body of baywatch  face of crimewatch
bobw,best of both worlds
boffum,both of them
bofh,b     d operator from hell
bogo,buy one get one
bogof,buy one get one free
bogsatt,bunch of guys sitting around the table
bohic,bend over here it comes
bohica,bend over  here it comes again
boi,boy
bol,barking out loud
bonr,boner
boomm,bored out of my mind
bord,bored
bos,boss over shoulder
botoh,but on the other hand
bout,about
bovered,bothered
bowt,about
boxor,box
bpot,big pair of tits
br,bathroom
brb,be right back
brbbrb,br right back bath room break
brbf,be right back f  ker
brbg2p,be right back  got to pee
brbigtp,be right back  i got to pee 
brbl,be right back later
brbmf,be right back mother f  ker
brbn2gbr,be right back  i need to go to the bathroom
brbs,be right back soon
brbts,be right back taking s  t
brd,bored
brfb,be right f  king back
brgds,best regards
brh,be right here
bro,brother
bros,brothers
broseph,brother
brover,brother
brt,be right there
bruh,brother
bruhh,brother
bruv,brother
bruva,brother
bruz,brothers
bs,bulls  t
bsmfh,b     d system manager from hell
bsod,blue screen of death
bsomn,blowing stuff out my nose
bstfu,b   h shut the f  k up
bstrd,b     d
bsx,bisexual
bsxc,be sexy
bt,bit torrent
btb,by the by
btch,b   h
btcn,better than chuck norris
btd,bored to death
btdt,been there done that
"btdtgtts     been there, done that, got the t",shirt
btfl,beautiful
btfo,back the f  k off
btfw,by the f  king way
btias,be there in a second
btm,bottom
btr,better
bts,be there soon
btsoom,beats the s  t out of me
bttt,been there  tried that
bttyl,be talking to you later
btw,by the way
btwilu,by the way i love you
btwitiailwu,by the way i think i am in love with you
btwn,between
bty,back to you
bubar,bushed up beyond all recognition
bubi,bye
budzecks,butt sex
buhbi,bye bye
bukket,bucket
bur,p   y
burma,be undressed ready my angel
buszay,busy
but6,buttsex
butsecks,butt sex
butterface,every thing is hot but her face
buwu,breaking up with you
bw3,buffalo wild wings
bwim,by which i mean
bwoc,big woman on campus
bwpwap,back when pluto was a planet
bwt,but when though
byak,blowing you a kiss
byeas     good,bye
byes,bye bye
bykt,but you knew that
byob,bring your own beer
byoc,bring our own computer
byoh,bring your own high
byself,by myself
bytabm,beat you to a bloody mess
bytch,b   h
bz,busy
bzns,buisness
bzy,busy
bzzy,busy
c,see
c 2 c,cam to cam  webcams 
c&c,command and conquer
c'mon,come on
c.y.a,cover your a  
c/b,comment back
c/t,can t talk
c14n,canonicalization
c2,come to
c2c,care to chat 
c2tc,cut to the chase
c4ashg,care for a shag
c@,cat
cam,camera
cancer stick,cigarette
catwot,complete and total waste of time
cawk,c  k
cayc,call at your convenience
cb,come back
cba,can t be arsed
cbb,can t be bothered
cbf,cant be f  ked
cbfa,can t be f  king arsed
cbfed,can t be f  ked
cbi,can t believe it
ccl,couldn t care less
ccna,cisco certified network associate
cd9,code 9  other people nearby 
celly,cell phone
cex,sex
cexy,sexy
cfas,care for a secret 
cfid,check for identification
cfm,come f  k me
cg,congratulations
cgad,couldn t give a d  n
cgaf,couldn t give a f  k
cgf,cute guy friend
ch@,chat
champs,champions
char,character
cheezburger,cheeseburger
chik,chick
chilax,chill and relax in one word
chillax,chill and relax
chillin,relaxing
chk,check
chohw,come hell or high water
chr,character
chronic,marijuana
chswm,come have sex with me
chswmrn,come have sex with me right now
chu,you
chut,p   y
cid,consider it done
cig,cigarette
cigs,cigarettes
cihswu,can i have sex with you
cihyn,can i have your number
cilf,child i d like to f  k
cing,seeing
cis,computer information science
ciwwaf,cute is what we aim for
cless,clanless
clm,cool like me
clt,cool like that
cluebie,clueless newbie
cm,call me
cma,cover my a  
cmao,crying my a   off
cmar,cry me a river
cmb,comment me back
cmbo,combo
cmcp,call my cell phone
cmeo,crying my eyes out
cmh,call my house
cmiiw,correct me if i m wrong
cmitm,call me in the morning
cml,call me later
cml8r,call me later
cmliuw2,call me later if you want to
cmomc,call me on my cell
cmon,come on
cmplcdd,complicated
cmplte,complete
cmptr,computer
cms,content management system
cmt,comment
cmw,cutting my wrists
cn,can
cnc,command and conquer
cnt,can t
cob,close of business
cod,call of duty
cod4,call of duty 4
cod5,call of duty 5
code 29,moderator is watching
code 8,parents are watching
code 9,parents are watching
code9,other people near by
cof,crying on the floor
coiwta,come on i wont tell anyone
col,crying out loud
comin',coming
comnt,comment
comp,computer
compy,computer
congrats,congratulations
contrib,contribution
contribs,contributions
convo,conversation
coo,cool
cood,could
copyvio,copyright violation
cos,because
cotf,crying on the floor
cotm,check out this myspace
cowboy choker,cigarette
coz,because
cp,child porn
cpl,cyber athlete professional league
cpm,cost per 1000 impressions
cptn,captain
cpu,computer
cpy,copy
cr,can t remember
cr8,crate
crakalakin,happening
crazn,crazy asian
cre8or,creator
crm,customer relationship management
crp,crap
crs,can t remember s  t
crunk,combination of crazy and drunk
crzy,crazy
cs     counter,strike
cs:s     counter,strike  source
csi,crime scene investigation
cskr,c  k sucker
csl,can t stop laughing
ct,can t talk
ctc,call the cell
ctf,capture the flag
ctfd,calm the f  k down
ctfo,chill the f  k out
ctfu,cracking the f  k up
ctm,chuckle to myself
ctn,can t talk now
ctnbos,can t talk now boss over shoulder
ctncl,can t talk now call later
ctpc,cant talk parent s  coming
ctpos,can t talk parent over sholder
ctrl,control
ctrn,can t talk right now
cts,change the subject
ctt,change the topic
cu,goodbye
cu2nit,see you tonight
cu46,see you for sex
cubi,can you believe it
cud,could
cuic,see you in cla  
cul,see you later
cul83r,see you later
cul8er,see you later
cul8r,see you later
cul8tr,see you later
culd,could
cunt,vagina
cuom,see you on monday
cuple,couple
curn,calling you right now
cut3,cute
cuwul,catch up with you later
cuz,because
cuzz,because
cvq,chucking very quietly
cw2cu,can t wait to see you
cwd,comment when done
cwm,come with me
cwmaos,coffee with milk and one sugar
cwot,complete waste of time
cwtgypo,can t wait to get your panties off
cwyl,chat with ya later
cya,goodbye
cyal,see you later
cyal8r,see you later
cyas,see you soon
cyb,cyber
cybl,call you back later
cybr,cyber
cybseckz,cyber sex
cye,close your eyes
cyff,change your font  f  ker
cyl,see you later
"cyl,a",see ya later  alligator
cyl8,see you later
cyl8er,see you later
cylbd,catch ya later baby doll
cylor,check your local orhtodox rabbi
cym,check your mail
cyntott,see you next time on tech today
cyt,see you tomorrow
cyu,see you
c|n>k,coffee through nose into keyboard
d,the
d&c,divide and conquer
d&df,drug   disease free
d.t.f,down to f  k
d.w,don t worry
d/c,disconnected
d/l,download
d/m,doesn t matter
d/w,don t worry
d00d,dude
d1ck,d  k
d2,diablo 2
d2m,dead to me
d2t,drink to that
d8,date
da,the
da2,dragon age 2
dadt,don t ask  don t tell 
dafs,do a f  king search
dah,dumb as hell
daii,day
damhik,don t ask me how i know
damhikijk     don't ask me how i know,i just know
damhikt,don t ask me how i know this
dass,dumb a  
dat,that
dats,that s
dawg,friend
dayum,d  n
dayumm,d  n
db,database
db4l,drinking buddy for life
dbab,don t be a b   h
dbafwtt,don t be a fool wrap the tool
dbag,d    ebag
dbeyr,don t believe everything you read
dbg,don t be gay
dbh,don t be hating
dbi,don t beg it
dbm,don t bother me
dbz,dragonball z
dc,don t care
dc'd,disconnected
dctnry,dictionary
dcw,doing cla   work
dd,don t die
ddf,drug and disease free
ddg,drop dead gorgeous
ddl,direct download
ddos,distributed denial of service
ddr,dance dance revolution
ded,dead
deets,details
deez,these
def,definitely
defs,definetly
degmt,don t even give me that
dem,them
der,there
dernoe,i don t know
detai,don t even think about it
dewd,dude
dey,they
df,dumb f  k
dfc,don t f  king care
dfo,dumb f  king operator
dftba,don t forget to be awesome
dftc,down for the count
dfu,don t f  k up
dfw,down for whatever
dfw/m,don t f  k with me
dfwm,don t f  k with me
dfwmt,don t f  king waste my time
dg,don t go
dga,don t go anywhere
dgac,don t give a crap
dgaf,don t give a f  k
dgara,don t give a rats a  
dgas,don t give a s  t
dgms,don t get me started
dgoai,don t go on about it
dgt,don t go there
dgypiab,don t get your panties in a bunch
dh,dickhead
dhac,don t have a clue
dhcp,dynamic host configuration protocol
dhly,does he like you
dhv,demonstration of higher value
diacf,die in a car fire
diaf,die in a fire
diah,die in a hole
dic,do i care
dick,penis
diez,dies
diff,difference
dih,d  k in hand
dikhed,dickhead
diku,do i know you
diky,do i know you
dil,daughter in law
dilf,dad i d like to f  k
dillic,do i look like i care
dillifc,do i look like i f  king care
dilligad,do i look like i give a d  n
dilligaf,do i look like i give a f  k
dilligas,do i look like i give a s  t
din,didn t
din't,didn t
dirl,die in real life
dis,this
dit,details in thread
diy,do it yourself
dju,did you
dk,don t know
dkdc,don t know  don t care
dl,download
dlf,dropping like flies
dlibu,dont let it bother you
dln,don t look now
dm,deathmatch
dmaf,do me a favor
dmba*,dumba  
dmi,don t mention it
dmn,d  n
dmu,don t mess up
dmwm,don t mess with me
dmy,don t mess yourself
dn,don t know
dnd,do not disturb
dndp,do not double post
dnimb,dancing naked in my bra
dno,don t know
dnrta,did not read the article
dnrtfa,did not read the f  king article
dns,domain name system
dnt,don t
dnw,do not want
doa,dead on arrival
dob,date of birth
dod,day of defeat
dogg,friend
doin,doing
doin',doing
don,denial of normal
doncha,don t you
donno,don t know
dont,don t
dontcha,don t you
dood,dude
doodz,dudes
dos,denial of service
dotc,dancing on the ceiling
doypov,depends on your point of view
dp,display picture
dpmo,don t piss me off
dprsd,depressed
dqmot,don t quote me on this
dqydj,don t quit your day job
dr00d,druid
drc,don t really care
drm,dream
drood,druid
dsided,decided
dsu,don t screw up
dt,double team
dta,don t trust anyone
dtb,don t text back
dth,down to hang
dtl,d  n the luck
dtp,don t type please
dtrt,do the right thing
dts,don t think so
dttm,don t talk to me
dttml,don t talk to me loser
dttpou,don t tell the police on us
dttriaa,don t tell the riaa
du2h,d  n you to hell
ducy,do you see why
dugi,do you get it 
dugt,did you get that 
duk,did you know
dulm,do you like me
dum,dumb
dun,don t
dunna,i don t know
dunno,i don t know
duno,don t know
dupe,duplicate
dutma,don t you text me again
dvda,double vaginal  double anal
dw,don t worry
dwai,don t worry about it
dwb,driving while black
dwbh,don t worry  be happy
dwbi,don t worry about it 
dwi,deal with it
dwioyot,deal with it on your own time
dwmt,don t waste my time
dwn,down
dwt,don t wanna talk
dwy,don t wet yourself
dy2h,d  n you to hell
dya,do you
dyac,d  n you auto correct
dycotfc,do you cyber on the first chat
dyec,don t you ever care
dygtp,did you get the picture
dyk,did you know
dylh,do you like him
dylm,do you love me
dylos,do you like oral sex
dym,do you mind
dynk,do you not know
dynm,do you know me
dyt,don t you think
dyth,d  n you to hell
dyw,don t you worry
dyw2gwm,do you want to go with me
dywtmusw,do you want to meet up some where
e.g.,example
e4u2s,easy for you to say
eabod,eat a bag of dicks
ead,eat a d  k
ebitda,earnings before interest  taxes  depreciation and amortization
ecf,error carried forward
edu,education
edumacation,education
eedyat,idiot
eejit,idiot
ef,f  k
efct,effect
effed,f  ked
efffl,extra friendly friends for life
effin,f  king
effing,f  king
efing,f  king
eg,evil grin
ehlp,help
eil,explode into laughter
el!t,elite
eleo,extremely low earth orbit
ello,hello
elo,hello
em,them
emm,email me
emo,emotional
emp,eat my p   y
enat,every now and then
enit,isn t it
enof,enough
enuf,enough
enuff,enough
eob,end of business
eoc,end of conversation
eod,end of day
eof,end of file
eok,electronically ok
eom,end of message
eos,end of story
eot,end of transmission
eotw,end of the world
epa,emergency parent alert
eq,everquest
eq2,everquest2
ere,here
errythin,everything
esad,eat s  t and die
esadyffb,eat s  t and die you fat f  king b     d
esbm,everyone sucks but me
esc,escape
esl,eat s  t loser
eta,estimated time of arrival
etla,extended three letter acronym
etmda,explain it to my dumb a  
etp,eager to please
eula,end user license agreement
ev1,everyone
eva,ever
evaa,ever
evar,ever
evercrack,everquest
every1,everyone
evn,even
evr,ever
evry,every
evry1,every one
evrytin,everything
exbf,ex
exgf,ex
exp,experience
ey,hey
eyez,eyes
ez,easy
ezi,easy
f u,f  k you
f#cking,f  king
f&e,forever and ever
f'n,f  king
f.b.,facebook
f.m.l.,f  k my life
f.u.,f  k you
f/o,f  k off
f00k,f  k 
f2f,face to face
f2p,free to play
f2t,free to talk
f4c3,face
f4eaa,friends forever and always
f4f,female for female
f4m,female for male
f8,fate
f9,fine
f@,fat
faa,forever and always
fab,fabulous
faggit,faggot
fah,funny as hell
faic,for all i care
fam,family
fankle,area between foot and ankle
fao,for attention of
fap,masturbate
fapping,masterbating
faq,frequently asked question
farg,f  k
fashizzle,for sure
fav,favorite
fave,favorite
fawk,f  k
fbimcl,fall back in my chair laughing
fbk,facebook
fbtw,fine be that way
fc,fruit cake
fcbk,facebook
fcfs,first come first served
fck,f  k
fckd,f  ked
fckin,f  king
fcking,f  king
fckm3hdbayb,f  k me hard baby
fcku,f  k you
fcol,for crying out loud
fcuk,f  k
fe,fatal error
feck,f  k
fer,for
ferr,for
ff,friendly fire
ffa,free for all
ffcl,falling from chair laughing
ffr,for future reference
ffs,for f  k s sake
fft,food for thought
ffxi,final fantasy 11
fg,f  king gay
fgi,f  king google it
fgs,for god s sake
fgssu,for gods sake shut up
fgt,faggot
fi,f  k it
fi9,fine
fibijar,f  k it buddy  i m just a reserve
fifo,first in  first out
fify,fixed it for you
figjam,f  k i m good  just ask me
figmo     f*ck it,got my orders
fiic,f  ked if i care
fiik,f  ked if i know
fimh,forever in my heart
fing,f  king
fio,figure it out
fitb,fill in the blank
fiv,five
fk,f  k
fka,formerly known as
fkd,f  ked
fker,f  ker
fkin,f  king
fking,f  king
fkn,f  king
fku,f  k you
flamer,angry poster
flames,angry comments
flicks,pictures
floabt,for lack of a better term
fm,f  k me
fmah,f  k my a   hole
fmao,freezing my a   of
fmb,f  k me b   h
fmbb,f  k me baby
fmbo,f  k my brains out
fmfl,f  k my f  king life
fmflth,f  k my f  king life to hell
fmh,f  k me hard
fmhb,f  k me hard b   h
fmi,for my information
fmir,family member in room
fmita,f  k me in the a  
fml,f  k my life
fmltwia,f  k me like the w   e i am
fmn,f  k me now
fmnb,f  k me now b   h
fmnkml,f  k me now kiss me later
fmph,f  k my p   y hard
fmq,f  k me quick
fmr,f  k me runnig
fmsh,f  k me so hard
fmth,f  k me to hell
fmuta,f  k me up the a  
fmutp,f  k me up the p   y
fn,first name
fnar,for no apparent reason
fnci,fancy
fnny,funny
fnpr,for no particular reason
fny,funny
fo,f  k off
fo shizzle,for sure
fo sho,for sure
fo`,for
foa,f  k off a  h  e
foad,f  k off and die
foaf,friend of a friend
foah,f  k off a  h  e
fob,fresh off the boat
focl,falling off chair laughing 
fofl,fall on the floor laughing
foia,freedom of information act
fol,farting out loud
folo,follow
fomofo,f  k off mother f  ker
fone,phone
foo,fool
foobar,f  ked up beyond all recognition
foocl,falls out of chair laughing
fook,f  k
for sheeze,for sure
fos,full of s  t
foshizzle,for sure
fosho,for sure
foss,free  open source software
fotcl,fell off the chair laughing
fotm,flavour of the month
fouc,f  k off you c  t
fov,field of view
foyb,f  k off you b   h
fp,first post
fpmitap,federal pound me in the a   prison
fpos,f  king piece of s  t
fps,first person shooter
frag,kill
fragged,killed
fren,friend
frens,friends
frgt,forgot
fri.,friday
friggin,freaking
frk,freak
frm,from
frnd,friend
frnds,friends
fs,for sure
fsho,for sure
fsm,flying spaghetti monster
fsob,f  king son of a b   h
fsod,frosn screen of death
fsr,for some reason
fst,fast
ft,f  k that
ft2t,from time to time
fta,from the article
ftb,f  k that b   h
ftbfs,failed to build from source
ftf,face to face
ftfa,from the f  king article
ftfw,for the f  king win 
ftfy,fixed that for you
ftio,fun time is over
ftk,for the kill
ftl,for the lose
ftlog,for the love of god
ftlt,for the last time
ftmfw,for the mother f  king win
ftmp,for the most part
ftp,file transfer protocol
ftr,for the record
fts,f  k that s  t
fttp,for the time being
ftw,for the win 
fu,f  k you
fua,f  k you all
fuah,f  k you a   hole
fub,f  k you b   h
fubah,f  ked up beyond all hope
fubalm,f  ked up beyond all local maintenance
fubar,f  ked up beyond all recognition
fubb,f  ked up beyond belief
fubh,f  ked up beyond hope
fubohic,f  k you bend over here it comes
fubr,f  ked up beyond recognition
fucken,f  king
fucktard,f  king retard
fuctard,f  king retard
fud,fear  uncertainty and doubt
fudh,f  k you d  k head
fudie,f  k you and die
fugly,f  king ugly
fuhget,forget
fuhq,f  k you
fuk,f  k
fukin,f  king
fukk,f  k
fukkin,f  king
fukn,f  king
fukr,f  ker
fulla,full of
fumfer,f  k you mother f  ker
funee,funny
funner,more fun
funy,funny
fuq,f  k you
fus,f  k yourself
fut,f  k you too
fuu,f  k you up
fux,f  k
fuxing,f  king
fuxor,f  ker
fuxored,f  ked
fvck,f  k
fwb,friends with benefits
fwd,forward
fwiw,for what it s worth
fwm,fine with me
fwob,friends with occasional benefits
fwp,first world problems
fxe,foxy
fxp,file exchange protocol
fy,f  k you
fya,for your attention
fyad,f  k you and die
fyah,f  k you a  h  e
fyb,f  k you b   h
fyc,f  k your couch
fye,for your entertainment
fyeo,for your eyes only
fyf,f  k your face
fyfi,for your f  king information
fyi,for your information
fyk,for your knowledge
fyl,for your love
fym,f  k your mom
fyp,fixed your post
fyrb,f  k you right back
fytd,f  k you to death
g'nite,good night
g/f,girlfriend
g/g,got to go
g0,go
g00g13,google
g1,good one
g2,go to
g2//,go to hell
g2bg,got to be going
g2bl8,going to be late
g2cu,glad to see you
g2e,got to eat
g2g,got to go
g2g2tb,got to go to the bathroom
g2g2w,got to go to work
g2g4aw,got to go for a while
g2gb,got to go bye
g2gb2wn,got to go back to work now
g2ge,got to go eat
